Train,Epoch:,1,[38400/196000,(20%)],Ternary,accuracy:,61%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[39680/196000,(20%)],Ternary,accuracy:,55%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[40960/196000,(21%)],Ternary,accuracy:,53%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[42240/196000,(22%)],Ternary,accuracy:,59%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[43520/196000,(22%)],Ternary,accuracy:,52%,|,Relations,accuracy:,31%,|,Non-relations,accuracy:,44%
Train,Epoch:,1,[44800/196000,(23%)],Ternary,accuracy:,41%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,44%
Train,Epoch:,1,[46080/196000,(24%)],Ternary,accuracy:,53%,|,Relations,accuracy:,33%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[47360/196000,(24%)],Ternary,accuracy:,52%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[48640/196000,(25%)],Ternary,accuracy:,53%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,45%
Train,Epoch:,1,[49920/196000,(25%)],Ternary,accuracy:,56%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,44%
Train,Epoch:,1,[51200/196000,(26%)],Ternary,accuracy:,53%,|,Relations,accuracy:,34%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[52480/196000,(27%)],Ternary,accuracy:,50%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[53760/196000,(27%)],Ternary,accuracy:,45%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,53%
Train,Epoch:,1,[55040/196000,(28%)],Ternary,accuracy:,52%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[56320/196000,(29%)],Ternary,accuracy:,64%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,41%
Train,Epoch:,1,[57600/196000,(29%)],Ternary,accuracy:,41%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[58880/196000,(30%)],Ternary,accuracy:,45%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[60160/196000,(31%)],Ternary,accuracy:,47%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,61%
Train,Epoch:,1,[61440/196000,(31%)],Ternary,accuracy:,48%,|,Relations,accuracy:,56%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[62720/196000,(32%)],Ternary,accuracy:,55%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[64000/196000,(33%)],Ternary,accuracy:,48%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,59%
Train,Epoch:,1,[65280/196000,(33%)],Ternary,accuracy:,59%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[66560/196000,(34%)],Ternary,accuracy:,38%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,53%
Train,Epoch:,1,[67840/196000,(35%)],Ternary,accuracy:,42%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[69120/196000,(35%)],Ternary,accuracy:,56%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,59%
Train,Epoch:,1,[70400/196000,(36%)],Ternary,accuracy:,64%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[71680/196000,(37%)],Ternary,accuracy:,50%,|,Relations,accuracy:,31%,|,Non-relations,accuracy:,61%
Train,Epoch:,1,[72960/196000,(37%)],Ternary,accuracy:,56%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,66%
Train,Epoch:,1,[74240/196000,(38%)],Ternary,accuracy:,53%,|,Relations,accuracy:,33%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[75520/196000,(39%)],Ternary,accuracy:,53%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,53%
Train,Epoch:,1,[76800/196000,(39%)],Ternary,accuracy:,47%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[78080/196000,(40%)],Ternary,accuracy:,50%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[79360/196000,(40%)],Ternary,accuracy:,67%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,44%
Train,Epoch:,1,[80640/196000,(41%)],Ternary,accuracy:,55%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[81920/196000,(42%)],Ternary,accuracy:,53%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,42%
Train,Epoch:,1,[83200/196000,(42%)],Ternary,accuracy:,59%,|,Relations,accuracy:,53%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[84480/196000,(43%)],Ternary,accuracy:,53%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[85760/196000,(44%)],Ternary,accuracy:,53%,|,Relations,accuracy:,55%,|,Non-relations,accuracy:,45%
Train,Epoch:,1,[87040/196000,(44%)],Ternary,accuracy:,58%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[88320/196000,(45%)],Ternary,accuracy:,62%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,58%
Train,Epoch:,1,[89600/196000,(46%)],Ternary,accuracy:,53%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[90880/196000,(46%)],Ternary,accuracy:,44%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[92160/196000,(47%)],Ternary,accuracy:,62%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,41%
Train,Epoch:,1,[93440/196000,(48%)],Ternary,accuracy:,50%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[94720/196000,(48%)],Ternary,accuracy:,52%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[96000/196000,(49%)],Ternary,accuracy:,52%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,61%
Train,Epoch:,1,[97280/196000,(50%)],Ternary,accuracy:,66%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,69%
Train,Epoch:,1,[98560/196000,(50%)],Ternary,accuracy:,48%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[99840/196000,(51%)],Ternary,accuracy:,48%,|,Relations,accuracy:,58%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[101120/196000,(52%)],Ternary,accuracy:,58%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,58%
Train,Epoch:,1,[102400/196000,(52%)],Ternary,accuracy:,53%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[103680/196000,(53%)],Ternary,accuracy:,64%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[104960/196000,(54%)],Ternary,accuracy:,53%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[106240/196000,(54%)],Ternary,accuracy:,52%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[107520/196000,(55%)],Ternary,accuracy:,55%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[108800/196000,(56%)],Ternary,accuracy:,45%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[110080/196000,(56%)],Ternary,accuracy:,62%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[111360/196000,(57%)],Ternary,accuracy:,61%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,53%
Train,Epoch:,1,[112640/196000,(57%)],Ternary,accuracy:,52%,|,Relations,accuracy:,28%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[113920/196000,(58%)],Ternary,accuracy:,48%,|,Relations,accuracy:,34%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[115200/196000,(59%)],Ternary,accuracy:,53%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,42%
Train,Epoch:,1,[116480/196000,(59%)],Ternary,accuracy:,56%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,61%
Train,Epoch:,1,[117760/196000,(60%)],Ternary,accuracy:,42%,|,Relations,accuracy:,58%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[119040/196000,(61%)],Ternary,accuracy:,58%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,58%
Train,Epoch:,1,[120320/196000,(61%)],Ternary,accuracy:,55%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[121600/196000,(62%)],Ternary,accuracy:,39%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[122880/196000,(63%)],Ternary,accuracy:,47%,|,Relations,accuracy:,58%,|,Non-relations,accuracy:,53%
Train,Epoch:,1,[124160/196000,(63%)],Ternary,accuracy:,61%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[125440/196000,(64%)],Ternary,accuracy:,56%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[126720/196000,(65%)],Ternary,accuracy:,47%,|,Relations,accuracy:,55%,|,Non-relations,accuracy:,39%
Train,Epoch:,1,[128000/196000,(65%)],Ternary,accuracy:,52%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,39%
Train,Epoch:,1,[129280/196000,(66%)],Ternary,accuracy:,61%,|,Relations,accuracy:,56%,|,Non-relations,accuracy:,41%
Train,Epoch:,1,[130560/196000,(67%)],Ternary,accuracy:,56%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[131840/196000,(67%)],Ternary,accuracy:,55%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[133120/196000,(68%)],Ternary,accuracy:,62%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,61%
Train,Epoch:,1,[134400/196000,(69%)],Ternary,accuracy:,42%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[135680/196000,(69%)],Ternary,accuracy:,58%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[136960/196000,(70%)],Ternary,accuracy:,58%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[138240/196000,(71%)],Ternary,accuracy:,44%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[139520/196000,(71%)],Ternary,accuracy:,58%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[140800/196000,(72%)],Ternary,accuracy:,52%,|,Relations,accuracy:,33%,|,Non-relations,accuracy:,23%
Train,Epoch:,1,[142080/196000,(72%)],Ternary,accuracy:,56%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[143360/196000,(73%)],Ternary,accuracy:,58%,|,Relations,accuracy:,55%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[144640/196000,(74%)],Ternary,accuracy:,59%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[145920/196000,(74%)],Ternary,accuracy:,56%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,59%
Train,Epoch:,1,[147200/196000,(75%)],Ternary,accuracy:,59%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[148480/196000,(76%)],Ternary,accuracy:,42%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[149760/196000,(76%)],Ternary,accuracy:,55%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,42%
Train,Epoch:,1,[151040/196000,(77%)],Ternary,accuracy:,45%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,59%
Train,Epoch:,1,[152320/196000,(78%)],Ternary,accuracy:,55%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,42%
Train,Epoch:,1,[153600/196000,(78%)],Ternary,accuracy:,56%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[154880/196000,(79%)],Ternary,accuracy:,62%,|,Relations,accuracy:,33%,|,Non-relations,accuracy:,45%
Train,Epoch:,1,[156160/196000,(80%)],Ternary,accuracy:,48%,|,Relations,accuracy:,53%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[157440/196000,(80%)],Ternary,accuracy:,56%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,61%
Train,Epoch:,1,[158720/196000,(81%)],Ternary,accuracy:,50%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[160000/196000,(82%)],Ternary,accuracy:,59%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,45%
Train,Epoch:,1,[161280/196000,(82%)],Ternary,accuracy:,53%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[162560/196000,(83%)],Ternary,accuracy:,52%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[163840/196000,(84%)],Ternary,accuracy:,55%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,53%
Train,Epoch:,1,[165120/196000,(84%)],Ternary,accuracy:,52%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[166400/196000,(85%)],Ternary,accuracy:,47%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[167680/196000,(86%)],Ternary,accuracy:,45%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[168960/196000,(86%)],Ternary,accuracy:,48%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[170240/196000,(87%)],Ternary,accuracy:,58%,|,Relations,accuracy:,33%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[171520/196000,(88%)],Ternary,accuracy:,62%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,41%
Train,Epoch:,1,[172800/196000,(88%)],Ternary,accuracy:,58%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[174080/196000,(89%)],Ternary,accuracy:,47%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,61%
Train,Epoch:,1,[175360/196000,(89%)],Ternary,accuracy:,50%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,53%
Train,Epoch:,1,[176640/196000,(90%)],Ternary,accuracy:,41%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,45%
Train,Epoch:,1,[177920/196000,(91%)],Ternary,accuracy:,52%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[179200/196000,(91%)],Ternary,accuracy:,52%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,53%
Train,Epoch:,1,[180480/196000,(92%)],Ternary,accuracy:,47%,|,Relations,accuracy:,55%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[181760/196000,(93%)],Ternary,accuracy:,58%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[183040/196000,(93%)],Ternary,accuracy:,50%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,53%
Train,Epoch:,1,[184320/196000,(94%)],Ternary,accuracy:,53%,|,Relations,accuracy:,55%,|,Non-relations,accuracy:,62%
Train,Epoch:,1,[185600/196000,(95%)],Ternary,accuracy:,44%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,59%
Train,Epoch:,1,[186880/196000,(95%)],Ternary,accuracy:,50%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[188160/196000,(96%)],Ternary,accuracy:,52%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[189440/196000,(97%)],Ternary,accuracy:,52%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,52%
Train,Epoch:,1,[190720/196000,(97%)],Ternary,accuracy:,53%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[192000/196000,(98%)],Ternary,accuracy:,58%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,61%
Train,Epoch:,1,[193280/196000,(99%)],Ternary,accuracy:,59%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[194560/196000,(99%)],Ternary,accuracy:,62%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[195840/196000,(100%)],Ternary,accuracy:,53%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,47%
,,,,,,,,,,,,,,,
,Test,set:,Ternary,accuracy:,52%,Binary,accuracy:,44%,|,Unary,accuracy:,55%,,,
,,,,,,,,,,,,,,,
Train,Epoch:,2,[0/196000,(0%)],Ternary,accuracy:,53%,|,Relations,accuracy:,53%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[1280/196000,(1%)],Ternary,accuracy:,55%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,55%
Train,Epoch:,2,[2560/196000,(1%)],Ternary,accuracy:,62%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,53%
Train,Epoch:,2,[3840/196000,(2%)],Ternary,accuracy:,52%,|,Relations,accuracy:,55%,|,Non-relations,accuracy:,52%
Train,Epoch:,2,[5120/196000,(3%)],Ternary,accuracy:,56%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,52%
Train,Epoch:,2,[6400/196000,(3%)],Ternary,accuracy:,58%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,64%
Train,Epoch:,2,[7680/196000,(4%)],Ternary,accuracy:,52%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,62%
Train,Epoch:,2,[8960/196000,(5%)],Ternary,accuracy:,58%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,59%
Train,Epoch:,2,[10240/196000,(5%)],Ternary,accuracy:,50%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,53%
Train,Epoch:,2,[11520/196000,(6%)],Ternary,accuracy:,55%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,50%
Train,Epoch:,2,[12800/196000,(7%)],Ternary,accuracy:,45%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,52%
Train,Epoch:,2,[14080/196000,(7%)],Ternary,accuracy:,50%,|,Relations,accuracy:,55%,|,Non-relations,accuracy:,58%
Train,Epoch:,2,[15360/196000,(8%)],Ternary,accuracy:,55%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,56%
Train,Epoch:,2,[16640/196000,(8%)],Ternary,accuracy:,56%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,47%
Train,Epoch:,2,[17920/196000,(9%)],Ternary,accuracy:,38%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,61%
Train,Epoch:,2,[19200/196000,(10%)],Ternary,accuracy:,58%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,59%
Train,Epoch:,2,[20480/196000,(10%)],Ternary,accuracy:,52%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,50%
Train,Epoch:,2,[21760/196000,(11%)],Ternary,accuracy:,52%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,56%
Train,Epoch:,2,[23040/196000,(12%)],Ternary,accuracy:,53%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[24320/196000,(12%)],Ternary,accuracy:,67%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,53%
Train,Epoch:,2,[25600/196000,(13%)],Ternary,accuracy:,66%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,58%
Train,Epoch:,2,[26880/196000,(14%)],Ternary,accuracy:,42%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,59%
Train,Epoch:,2,[28160/196000,(14%)],Ternary,accuracy:,47%,|,Relations,accuracy:,33%,|,Non-relations,accuracy:,45%
Train,Epoch:,2,[29440/196000,(15%)],Ternary,accuracy:,53%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,58%
Train,Epoch:,2,[30720/196000,(16%)],Ternary,accuracy:,33%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,50%
Train,Epoch:,2,[32000/196000,(16%)],Ternary,accuracy:,56%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[33280/196000,(17%)],Ternary,accuracy:,55%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,45%
Train,Epoch:,2,[34560/196000,(18%)],Ternary,accuracy:,50%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,52%
Train,Epoch:,2,[35840/196000,(18%)],Ternary,accuracy:,48%,|,Relations,accuracy:,53%,|,Non-relations,accuracy:,50%
Train,Epoch:,2,[37120/196000,(19%)],Ternary,accuracy:,66%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,50%
Train,Epoch:,2,[38400/196000,(20%)],Ternary,accuracy:,61%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,45%
Train,Epoch:,2,[39680/196000,(20%)],Ternary,accuracy:,47%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,47%
Train,Epoch:,2,[40960/196000,(21%)],Ternary,accuracy:,50%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,58%
Train,Epoch:,2,[42240/196000,(22%)],Ternary,accuracy:,53%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,58%
Train,Epoch:,2,[43520/196000,(22%)],Ternary,accuracy:,56%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,61%
Train,Epoch:,2,[44800/196000,(23%)],Ternary,accuracy:,62%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,58%
Train,Epoch:,2,[46080/196000,(24%)],Ternary,accuracy:,53%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,47%
Train,Epoch:,2,[47360/196000,(24%)],Ternary,accuracy:,50%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,55%
Train,Epoch:,2,[48640/196000,(25%)],Ternary,accuracy:,48%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,50%
Train,Epoch:,2,[49920/196000,(25%)],Ternary,accuracy:,53%,|,Relations,accuracy:,34%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[51200/196000,(26%)],Ternary,accuracy:,53%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,47%
Train,Epoch:,2,[52480/196000,(27%)],Ternary,accuracy:,53%,|,Relations,accuracy:,53%,|,Non-relations,accuracy:,44%
Train,Epoch:,2,[53760/196000,(27%)],Ternary,accuracy:,38%,|,Relations,accuracy:,31%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[55040/196000,(28%)],Ternary,accuracy:,72%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,66%
Train,Epoch:,2,[56320/196000,(29%)],Ternary,accuracy:,59%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,52%
Train,Epoch:,2,[57600/196000,(29%)],Ternary,accuracy:,61%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,53%
Train,Epoch:,2,[58880/196000,(30%)],Ternary,accuracy:,58%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,42%
